nombre_comunidad,date,value
Castilla - La Mancha,2020/09,-0.6
Castilla - La Mancha,2020/10,-1.2
Castilla - La Mancha,2020/11,-1.3
Castilla - La Mancha,2020/12,-0.9
Castilla - La Mancha,2021/01,0.2
Castilla - La Mancha,2021/02,-0.2
Castilla - La Mancha,2021/03,1.6
Castilla - La Mancha,2021/04,2.8
Castilla - La Mancha,2021/05,3.5
Castilla - La Mancha,2021/06,3.4
Castilla - La Mancha,2021/07,3.6
Castilla - La Mancha,2021/08,4
Castilla - La Mancha,2021/09,4.8
Castilla - La Mancha,2021/10,6.5
Cataluña,2020/01,1.2
Cataluña,2020/02,0.8
Cataluña,2020/03,0
Cataluña,2020/04,-0.7
Cataluña,2020/05,-1
Cataluña,2020/06,-0.6
Cataluña,2020/07,-0.8
Cataluña,2020/08,-0.8
Cataluña,2020/09,-0.5
Cataluña,2020/10,-1.1
Cataluña,2020/11,-1
Cataluña,2020/12,-0.6
Cataluña,2021/01,0.4
Cataluña,2021/02,-0.1
Cataluña,2021/03,1.3
Cataluña,2021/04,2
Cataluña,2021/05,2.6
Cataluña,2021/06,2.6
Cataluña,2021/07,2.8
Cataluña,2021/08,3.1
Cataluña,2021/09,3.7
Cataluña,2021/10,5.2
Comunitat Valenciana,2020/01,1
Comunitat Valenciana,2020/02,0.6
Comunitat Valenciana,2020/03,-0.2
Comunitat Valenciana,2020/04,-0.9
Comunitat Valenciana,2020/05,-1.1
Comunitat Valenciana,2020/06,-0.5
Comunitat Valenciana,2020/07,-0.6
Comunitat Valenciana,2020/08,-0.6
Comunitat Valenciana,2020/09,-0.3
Comunitat Valenciana,2020/10,-0.9
Comunitat Valenciana,2020/11,-0.7
Comunitat Valenciana,2020/12,-0.5
Comunitat Valenciana,2021/01,0.5
Comunitat Valenciana,2021/02,0.2
Comunitat Valenciana,2021/03,1.7
Comunitat Valenciana,2021/04,2.5
Comunitat Valenciana,2021/05,3
Comunitat Valenciana,2021/06,3
Comunitat Valenciana,2021/07,2.9
Comunitat Valenciana,2021/08,3.4
Comunitat Valenciana,2021/09,4.2
Comunitat Valenciana,2021/10,5.6
Extremadura,2020/01,1
Extremadura,2020/02,0.7
Extremadura,2020/03,0
Extremadura,2020/04,-0.7
Extremadura,2020/05,-0.8
Extremadura,2020/06,-0.2
Extremadura,2020/07,-0.3
Extremadura,2020/08,-0.1
Extremadura,2020/09,0.1
Extremadura,2020/10,-0.6
